region,region_name,variable,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,Aruba,Carbon Intensity,kg CO2 / $,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17261951344571957,0.37025600269964115,0.42716528628840844,0.40376767125065516,0.2918352789870813,0.29469972083670687,0.2821665116208335,0.31661431134833307,0.29756843492753476,0.31113444713281824,0.3154543041407639,0.30808291803991356,0.3210361308203187,0.31855158406115236,0.8692154126489112,0.8446083955023359,0.8630482246524379,0.8972104353927255,0.8541635142048405,0.8910741634110838,0.879952568696785,0.8869868073296356,0.8200949799825571,0.9182800220921644,0.9006345441435264,0.8687314855614061,0.4736884874800949,0.2842122294624465,0.2924808999318486,0.30297269554815964,0.29298790928350826,0.27596767080403595,0.26396192870246304,0.2756613266803542,0.37358466827851944,0.2928552164588576,0.2680223164356155,0.26957136806808846
AFG,Afghanistan,Carbon Intensity,kg CO2 / $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16871344089500656,0.19019212271801328,0.18550744940995742,0.19823951973548135,0.1550723286862559,0.21291466749121804,0.23094503878122735,0.26308327548798105,0.3846587143605232,0.4760731468469263,0.5447746061575067,0.7677209062611634,0.5771903277687115,0.5038331922585867,0.48621781352944865,0.5117058421185066,0.46341955014758807,0.49131902204181416,0.5322926041494396,0.5247358914226006,0.5764761218290987,0.6702181707402102,0.746188220958563,0.7656268170917694
AGO,Angola,Carbon Intensity,kg CO2 / $,,,,,,,,,,,,,,,,,,,,,0.23129215713304668,0.2388724497905249,0.21022668854795462,0.22200838190624145,0.2047324682996874,0.1855207730815467,0.1786623482805383,0.21433539025110782,0.17624278287986225,0.17175394053519402,0.18393030465702234,0.18120128081994422,0.19625126969425155,0.2873599951687559,0.5600439823631851,0.5411880992689575,0.5760745567032051,0.5593835153264164,0.5554778207635327,0.5682425131858078,0.5109524191584126,0.48767304808214346,0.4336678990904377,0.4578545729585379,0.4016042611048013,0.3157086908681376,0.3153563229928511,0.2837527604679686,0.272108727274649,0.29738840371493686,0.31676533511940413,0.27103601972403063,0.24350943272687753,0.23115003093409484,0.20317001774907442,0.20079161907727228,0.17810745858482588,0.17583951303154968,0.1863459063073075,0.1722104206335279,0.1628976435237029,0.1853037194876559,0.19326378787573067,0.19288952199476903
ALB,Albania,Carbon Intensity,kg CO2 / $,,,,,,,,,,,,,,,,,,,,,1.0612596169548258,1.4245315151852502,1.3776950726696993,1.4229058668419217,1.4777805522640564,1.4622492493096226,1.41522231926415,1.318300478060501,1.3161263268127144,1.4691543003571472,0.9981454287089327,1.0773775610245515,0.6810558927356891,0.5773964250262593,0.43868336018378357,0.42036475563022646,0.3782185920920098,0.32763656863295487,0.344001490137264,0.5215360166181657,0.4916118907216632,0.48080476205487044,0.5348179218651646,0.5829496725622232,0.5374669591493685,0.5216073234218408,0.4515050252183239,0.4280950724924819,0.44587258053468254,0.4351285800913625,0.4587473923680585,0.49739593179106745,0.44948936292741476,0.4817808473810034,0.5336873903101059,0.40773342174833105,0.3852942056455668,0.4274885203287617,0.38247844059405706,0.37024735062313796,0.3985209056044624,0.35368847749573157,0.3444666954524564,0.33279135513304453
AND,Andorra,Carbon Intensity,kg CO2 / $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24828756884714154,0.24212310601901052,0.23989397749867694,0.2445779680651382,0.23675200446472447,0.24077707737729662,0.24594652250030571,0.23095463289456553,0.236140223550075,0.2369988946597534,0.2338271724591009,0.2162676299474286,0.20975608084426514,0.194309049870641,0.18830532539143757,0.18333242989430526,0.16600784933631033,0.16127465720640796,0.1707679667349098,0.17297018935094088,0.1764551035339821,0.16770845474778093,0.1751706652706047,0.177517035419947,0.16785119742529492,0.16679132797557958,0.16209157009008482,0.16027057827998106,0.16770197168559467,0.16073555943137113,0.13984492261821768,0.14083496874882986,0.1332850573825287,0.13186773198748547
ARE,United Arab Emirates,Carbon Intensity,kg CO2 / $,,,,,,,,,,,1.082748401712019,1.1011725663082843,0.8765928427931136,0.6481741175408271,0.5789773215712568,0.5405698198788633,0.5919905839590183,0.4768259345692191,0.5595779971416873,0.37789142487055644,0.307370903605804,0.29323717529511173,0.31423892797139147,0.31614095791385827,0.398296509641402,0.4444482601637348,0.49502004833292174,0.4831050928353468,0.5028435170264846,0.5043005337043569,0.4066642811466703,0.4419507869183597,0.43582313184337534,0.4885825944582527,0.5229043190880976,0.4734829655810557,0.4657439876194044,0.41625643255153383,0.45595040885512017,0.4276578876797222,0.557920872719746,0.4990691788847222,0.406655136111173,0.469992141257488,0.45015147785182974,0.439672737880748,0.4258576902098567,0.4514397951349215,0.5050376529163954,0.5826776169840051,0.6309286939584221,0.6320514937059877,0.6489022820534375,0.6338872082982419,0.6005659127364024,0.6046410472374052,0.5759984902878813,0.5360931637290801,0.5199796445790071,0.5407023692925894,0.5623824341481417,0.5394673613993515,0.5232525565350333,0.5119335044065443
ARG,Argentina,Carbon Intensity,kg CO2 / $,0.3233767114670926,0.32158626576556704,0.3402949953320373,0.33520229739590895,0.33866329055216726,0.32353751082233884,0.34932312515202885,0.35141649786982865,0.353339926060833,0.360621969980063,0.37442321404472817,0.3809525495310623,0.37999360734861237,0.3856435616508763,0.37127191066313486,0.36890794817048966,0.395774371605654,0.37384756598775054,0.398679238208596,0.39013191712478695,0.377485949503853,0.37364369263596037,0.381516601891253,0.37195113371373395,0.3707605308881056,0.36930331905228525,0.360419273234392,0.3870716631389181,0.41357338808730765,0.4293675246739697,0.4216396955328555,0.40506009984585456,0.3871694217584016,0.34761287705753785,0.33037379494285546,0.3594822396242761,0.3566899790942997,0.34348748743952495,0.33676416844100165,0.37030170982420435,0.3608407122056665,0.35542392791117294,0.36930215402039324,0.3653245717165631,0.39188009092570897,0.3702973462721139,0.3704028219947767,0.33837559976947923,0.35097712841555523,0.35486133619192095,0.3362429968105233,0.32275717649645397,0.32791702459388233,0.316990651173421,0.3230221464619196,0.3203493475057533,0.3246697467691543,0.31052581970570287,0.3073852437896554,0.3092878064565818,0.3202626124982215,0.33034999708513557,0.3342829989482269,0.32530282821170126
ARM,Armenia,Carbon Intensity,kg CO2 / $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5410213765537397,1.4311586417294615,1.9072022412261467,0.9171527727048709,0.9306379144095747,1.0904210636187788,0.765855934410827,0.9643086192855703,0.9446593951871318,0.8131422988650066,0.8817965236038113,0.8140746499458034,0.6263386987803711,0.6170559009498741,0.5965007827225116,0.6208892705220915,0.5516749052871598,0.5622134437419113,0.574862507865488,0.5237940588755208,0.4995296445137239,0.5574463360055185,0.6015694115947022,0.560747781093593,0.5480204018210905,0.518255323421732,0.4920365797072904,0.487366574997276,0.4871612907626879,0.48837089030858155,0.5690902174974343,0.5942040305981562,0.5096846528443315,0.4989802708267385
ATG,Antigua and Barbuda,Carbon Intensity,kg CO2 / $,,,,,,,,,,,,,,,,,,1.2018910791160875,1.214882517375532,0.9311279260737081,0.30246584191247144,0.21664662466321363,0.5981453524908362,0.16321237282526552,0.2576562537510268,0.4069119174668701,0.36496414527494336,0.3775190613552681,0.3731661781790548,0.35454443560098237,0.29122789764921175,0.2936604319595057,0.2902971915904115,0.28384846647106515,0.2774872254535406,0.2941110278156539,0.29452985966574924,0.3004602663071105,0.29701226684229676,0.30592035370798526,0.2972440779369032,0.3242487549958506,0.3527292344641327,0.35049723601978455,0.3483800174788749,0.34847940597636556,0.3327895060919732,0.31522661703816124,0.31743016462390883,0.3728280832269117,0.3992236045649426,0.40448493264381574,0.39916453504383287,0.40157794754816434,0.40069537418796586,0.40527443761094983,0.3990285769710485,0.39325665531489434,0.3752218663705325,0.3788385124048348,0.4509358391494718,0.4300138211615318,0.39142272509832077,0.4007431098809353
AUS,Australia,Carbon Intensity,kg CO2 / $,0.4274822434797681,0.41505390380517493,0.4281126472486458,0.4256127749325993,0.4291283483768355,0.4442543247914763,0.44207201410906294,0.43936762278376756,0.4402526615799128,0.43569622552118664,0.44063978487491623,0.43301692018559274,0.4235661861037182,0.4572154434579731,0.4289535208128924,0.440922642542039,0.42160779788992614,0.436005018390011,0.4538489328023237,0.4390819856765808,0.45284216989049925,0.45844668864885746,0.45238921041929697,0.44070249390302413,0.4413765130553325,0.4328151619696007,0.4153473256516246,0.4240690916425694,0.4114711029691864,0.4226191796288311,0.4418986131212425,0.4457850867554087,0.4518153497929322,0.44087358985666314,0.43108235694508584,0.43099994502416467,0.4243316306123339,0.419337861005369,0.41791824031079244,0.4096111663068156,0.4010855592912894,0.4018579400870016,0.3916117574155451,0.3873031526192166,0.3852071461396162,0.37636894890688655,0.37214204939503764,0.36511356525871813,0.357207130942242,0.352523755749657,0.34320483799816753,0.3340848113943868,0.32335452459863046,0.3096223328639985,0.2969965167779006,0.29711958961778534,0.2955443278898332,0.29137209460236346,0.2844334820534799,0.278507816941259,0.26771774547235816,0.25550670504665196,0.2421738003983715,0.23326882018559314
AUT,Austria,Carbon Intensity,kg CO2 / $,0.3672309033834987,0.3597112440418589,0.37290320762130846,0.3906954275603709,0.3875517197028787,0.36723976477791365,0.35735828941882075,0.35317809817918017,0.3582293849274745,0.35573306041792024,0.3766654929670532,0.3685096080974603,0.3736385775054581,0.38127631437270537,0.35018290524645584,0.332564626338573,0.3414099892034387,0.3125676707826592,0.3201237137500122,0.3255893247516444,0.2715280828752232,0.29182365125549076,0.27445155856525283,0.25708822256463254,0.26961729395053147,0.2637834666269113,0.25482442849794196,0.268470208647407,0.23980584234579463,0.2341431072343228,0.2598607981115079,0.26575235314618206,0.23854120544575488,0.23896782760534402,0.23480172215110662,0.23984762644116728,0.24689889298160597,0.24134129620724842,0.23193100330509878,0.21928494686753744,0.21415512150396082,0.22411069617364288,0.22650987971768935,0.24083993845923116,0.23571887894844515,0.2345195030144383,0.22054793853975357,0.20505590090439071,0.20042124495277766,0.19038590128446609,0.20006614854830693,0.18868871813444613,0.18046351746728811,0.18224134516742424,0.1712631066454178,0.1748337329157577,0.17342728956155504,0.17558137073366947,0.16384984236240524,0.1643727729170635,0.1605579787739059,0.1620370042500841,0.1439229810044492,0.13846594291251252
AZE,Azerbaijan,Carbon Intensity,kg CO2 / $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.495169925252016,2.450505298077453,3.553659600080778,3.982090360910361,4.297087329496345,3.8689495001898786,3.5822887105320094,3.234243969085511,3.1315517524476286,2.6439474163843633,2.4577131835982837,2.1349012067423083,1.9614019813078156,1.899153183113171,1.8389548879555737,1.5235802172649278,1.143935609210894,0.7933135014263639,0.7889765413464752,0.6354846892673308,0.574070607930856,0.6329472116071335,0.6659212253166736,0.6406618164772643,0.6428473953129797,0.6466428928312212,0.668154698962885,0.666086067922562,0.6540025367544138,0.6962689456417279,0.6990517727618096,0.7084713814565854,0.710244073193925,0.7566431734562793
BDI,Burundi,Carbon Intensity,kg CO2 / $,0.045621771477058,0.06930733169777106,0.058530947991306315,0.06089045845253374,0.057296243388968646,0.04239223766705542,0.052679793820813364,0.04628280703667149,0.05356279370597309,0.07247485865463188,0.05077542904508281,0.05813882494021085,0.06211676049423534,0.058113305410069815,0.07317348560540762,0.06103971935503457,0.06462660697082127,0.06522408682989811,0.0682820382052794,0.07196120500355782,0.09500670395925381,0.0910567262210659,0.09202631531375768,0.11555497926030649,0.12361662809619137,0.11611537558114111,0.1142452984156087,0.1150540922790254,0.09987740407092117,0.11603173776790057,0.0875365021317665,0.09507174727295462,0.08543302155255418,0.09575199818391182,0.10277713664861146,0.11336123958839558,0.12511441158305425,0.1309884741230427,0.12504866265315015,0.1281822543388534,0.13865894213276977,0.10281736465256931,0.10195592346150864,0.07830410216297842,0.09166949915149142,0.07066253651081429,0.07980175420392022,0.08485285279103229,0.08386131194578736,0.06519194705092976,0.10919898476750055,0.12051665742698961,0.1192024425428533,0.1158830269875674,0.10776562421210925,0.11449986918592939,0.1389417413478656,0.1654279333618844,0.20473950873934874,0.21473414246502612,0.2286171671358059,0.2410610514606815,0.2145422645594708,0.20821811580766736
BEL,Belgium,Carbon Intensity,kg CO2 / $,0.8477013821233749,0.8234023230492559,0.827527126085526,0.8549761114857062,0.7833122557118668,0.7693582695418938,0.7441636983645515,0.7318859462433419,0.7748954152816614,0.7577273401749502,0.7239978655115472,0.6733883365507105,0.6883520724394677,0.6866906743624467,0.6392357293256183,0.588627087801921,0.5930550758741626,0.5735565391816924,0.5985893827985372,0.6036211117746744,0.5574688627624064,0.5123371132093274,0.4826337292178735,0.4158051918324907,0.42089228975790305,0.4102580774984253,0.39656933030944974,0.38846853220144184,0.3606574977112787,0.37319983190452083,0.40760753672820393,0.41048293036271555,0.4014296803501605,0.40180394221538807,0.4000544740648936,0.39430307039072227,0.40010553313158315,0.3691416342021147,0.38023740818402085,0.3515980820111846,0.3445455927944173,0.3390337467201608,0.3354503082830861,0.33562888694249005,0.3254033364968431,0.31026040575105124,0.2983117189664178,0.2798281567381422,0.27788589905362643,0.25405854509439585,0.26275262470312655,0.2366292474499244,0.23013585766305247,0.23016738721706337,0.21356717189094507,0.21966418098871834,0.21378656982593705,0.20951942253186628,0.20766119692587384,0.2017491283774734,0.19393039707419327,0.18991682025479356,0.17086213738807932,0.15828813536317798
BEN,Benin,Carbon Intensity,kg CO2 / $,0.09764035222968019,0.07530298407891578,0.08243041559603013,0.07019860563370883,0.07778846503702724,0.07766608128266798,0.056695771658718565,0.07056595620753997,0.07318220090161941,0.09315334878984971,0.12773511524280962,0.1347284802895879,0.1677359102841756,0.15868977633288717,0.16389776110823565,0.18785970677355004,0.10926543299167768,0.11873745511186326,0.14332471918895676,0.13589095410503818,0.16665623991162154,0.12233856357913096,0.1367361353162085,0.13063328643531755,0.13416973477360464,0.19103773039291555,0.16998747439427217,0.13100682481361953,0.13588074597368086,0.15697397384013492,0.1463640452514214,0.15019919206139978,0.15796097926700745,0.17960911193159942,0.19875148670766646,0.19662071466125672,0.2333162168787678,0.22814948926318623,0.19971264054599405,0.24883162542301238,0.23682973109862482,0.25783749971304065,0.30780319742202444,0.33759778097662274,0.35023124122668114,0.3305422822847525,0.428020517141687,0.47372366043700886,0.45023553118897097,0.47433440442086183,0.5145306616743078,0.47839699083257287,0.44857301551901346,0.4340135877265779,0.4286276007368487,0.4679312252700953,0.5518137995572602,0.5471358046903126,0.5602985737578267,0.5018504776222349,0.525962376228931,0.5537279882448555,0.5226182852730102,0.47239905309773167
BFA,Burkina Faso,Carbon Intensity,kg CO2 / $,0.037683106511415876,0.07545512114433366,0.06540987201459648,0.06913036382529847,0.084484330249621,0.0759913140630706,0.07558495943188545,0.06945658607197468,0.06738727518808574,0.07784354390169172,0.09188938691735436,0.09525538088221291,0.09991573582422407,0.10399010414400328,0.11690906481810188,0.121613280501968,0.10644743934079759,0.12652135130129766,0.16897184335963597,0.19045095250780372,0.20086075599633435,0.2481752780487671,0.2339665928711995,0.24058536958333016,0.19202254768979152,0.18113093088772422,0.16907381081134615,0.1824113136248601,0.18464690328619818,0.2681474011863765,0.19149132712114092,0.18881776116028157,0.18948101587836363,0.18207699633573454,0.18496853542553324,0.1693358375469607,0.17223082982349178,0.18482658022352963,0.1840083470148127,0.1826406017192615,0.20159445486015776,0.18199819480467908,0.17620444596841955,0.1754053254282678,0.17188632672392143,0.1613386384071616,0.18405716498163002,0.20677106035292186,0.21297266260089634,0.2182328359604096,0.22405486698097704,0.21989632191722033,0.2538708307532259,0.2624128628095682,0.25571442246729814,0.31397355127313553,0.31139436802449044,0.3393983150985045,0.35296490430532684,0.3664305195787923,0.3385692256632144,0.3672656081811476,0.36476425924745776,0.34283314904914547
