region,region_name,variable,unit,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ARE,United Arab Emirates,Carbon Intensity,g CO2 / MJ,7.1462022222057575,7.811538239985966,47.06046409768182,49.681918275284694,817.4147518461209,440.5684045432345,401.67303927308075,415.9517107929743,418.9351613574393,389.9832352900135,361.4382753455893,364.52035172943755,216.89264061379907,216.27305441048216,150.3498641468121,94.66564832329064,81.19702312594151,75.2182985908462,75.10713426304525,79.133137963842,68.64504181892373,53.59894128666992,48.425281821968355,44.41939774530687,44.410037330449725,41.79956016250365,37.5544686449624,39.61822108464974,43.18296341058363,45.04376363761554,41.74864747299951,42.157490577304,39.045298333373395,41.930648639694624,40.16455562617735,58.21025799219979,52.263833052993746,40.004328354227304,47.138352800479716,46.278892439202515,45.44485599312458,45.98690988926496,45.51887277083847,45.89084662903087,50.74627775537082,53.086617660153756,54.015296406025826,53.87761258531738,52.56731641168821,52.49643203283742,51.11174629923321,49.86552316007171,45.065009260923304,50.11895062416581,46.78950790578638,50.786305657917055,47.66340447076229,42.559305064063416,40.881618139199375,40.54505495459493
ARG,Argentina,Carbon Intensity,g CO2 / MJ,50.08639495846925,52.02785205044618,52.48307185143048,53.55826585401411,57.95048655101655,65.5131401101048,66.39811472837947,66.45552401463456,66.84070818638492,65.87051502557848,67.06914893625391,67.00631008280274,64.99807789284965,66.28759088322478,67.48965929808804,67.98931240979289,65.796052197147,65.8284574106084,64.14962358352354,65.103546674249,62.529096395106315,61.63131835386286,65.02277755182092,65.81913857810655,65.3955828305314,64.87740290270976,66.34909091256316,64.39418697061829,61.41611028047411,58.85162522812473,60.05173043822457,59.22468295148932,61.62473808073044,60.19323553449077,61.97127520993571,61.37855138948711,60.70176434939463,58.75797400924939,58.15044058354331,62.78539143107805,61.18260694505796,63.063946423394185,59.29467258593288,63.17917653275191,62.50714349809867,62.635859452408006,61.7118685310816,59.502327466078775,55.15969472459522,55.79483490458133,55.66747029827782,55.067928536111296,54.92244485354325,54.29632253918211,57.267565374396355,56.2613599416804,58.90809368510019,54.263631755719196,53.28745917725023,52.25655721063076
AUS,Australia,Carbon Intensity,g CO2 / MJ,76.84474188993832,74.4737931393403,74.1372199131067,73.58509079211497,74.97733831800736,74.6570734722005,72.84606755773214,70.70492887678668,73.24457675862496,67.42104172619084,69.21655128763534,65.39138298418641,66.54172382204949,67.82650605061893,65.68282579194421,69.41473972415572,71.50518277368108,73.41481291487521,70.53187493891909,71.45336039112453,71.78541398367919,70.32910211353774,71.54674459175023,70.15879383240024,71.22373193232268,75.57115025701226,76.61183292893757,76.77582751450895,76.23484238399983,74.56583291149896,75.3984882768939,74.89195046784107,75.01583448700158,76.36051444346664,75.50259538486735,76.37796875310615,77.41619409321761,76.8781977864344,77.53756633372531,77.2938910179528,77.60612139090591,75.57719981485299,75.0597201697209,74.70409610686583,76.48938289719,76.35540598812923,74.35185465291333,75.59117077425199,73.70013641832476,71.93966799811389,71.94456860098987,73.77846810042911,74.45846977859608,74.3434081267819,72.26051930088279,74.50645541342153,73.44402369602756,69.96534831434836,70.69877509476262,70.6986596984543
AUT,Austria,Carbon Intensity,g CO2 / MJ,67.12151158291228,66.3074805103351,66.97002082986539,65.8165168296684,65.58752974685459,66.24242975836663,65.73543334822905,68.35055478599811,68.38005558760771,66.76382389148473,64.25008620017633,64.53235664952345,64.07791757632583,62.26913879306475,63.76790041172815,54.79037780296905,61.78434465407212,61.814064213994456,59.68616656828371,61.52357149085362,59.16358992095922,58.396541086746126,60.2617018276476,56.61196900897618,56.92295609655273,63.51804201398722,63.52833868865565,60.59621742293555,60.14523201411604,60.740493892328246,60.36050746287834,60.70372112985888,60.38875515151386,58.816498596735755,58.316477841929775,58.77008853413646,59.51843263059228,60.77892706984086,62.580213479457036,61.46987759378506,61.14448306859787,59.87424694367027,59.15244541277915,58.17006877736727,56.2791276021377,57.32311175683121,58.61579569044189,56.20911327597773,56.85089516591549,56.370966935661365,57.077448722984045,56.37227979708762,56.84251223113985,55.470539364969156,54.64093413475013,54.53256481942631,55.79316203250685,55.480078138036376,51.79830441247485,50.371132452440115
AZE,Azerbaijan,Carbon Intensity,g CO2 / MJ,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,61.25966523963065,59.004620545294124,57.71965718870299,58.778049365535246,57.62176463751346,55.42968168255703,56.33446908675235,73.96158947730837,74.19273207304705,69.65035493239097,58.7082853654401,67.41419403471097,67.503296252682,71.88260787184302,64.87517738956038,64.06769551074001,63.2941301162497,65.19374774860526,64.47884104395224,60.24435285354543,58.91107955087105,60.1424064693898,56.85530208133685,62.37488764113813,64.14576344011004,62.56179019336236,59.501708070590546,61.95802008725517,61.47850177173946,61.550939504713654,56.99947399911258,57.8337646474984,58.79216411806081,55.503533379374744,57.28310809466204,55.02277505314706,54.49311520060363,55.126977870499374,55.389883370361595,54.62276544926071
BEL,Belgium,Carbon Intensity,g CO2 / MJ,70.94803028357497,73.48951812497917,71.48370582465026,70.76084857374971,67.219940795895,64.66172449823465,63.724857553255816,64.52769105958347,67.56619933644689,68.11834207764151,65.20743255755731,65.34213963460483,63.45715682077443,65.2478449836999,65.47850818353912,65.94864377830869,63.57050523701006,62.892077672207,55.89488267123614,55.42002615310049,52.48649537306837,50.010278294354016,48.639824785397394,46.35319940883666,49.28680259847053,53.141530661005476,52.68231160288435,52.42649322513003,52.819369352658626,51.677443817692286,51.50639219538542,49.84486368233784,47.20730678273064,48.66819215165534,46.891200300278825,46.853444266508745,46.97214163896335,47.40956813768354,46.12354878135051,46.10197646196692,45.42849679262649,44.666600123578924,43.09233103075871,42.34991207665327,41.07376731308681,40.91570336541658,40.296697462333576,41.199317685793396,40.38084170166712,41.40288919387091,43.1013847974606,38.84270567040866,38.38519041774868,39.33397992283408,37.66964063191576,38.93631355102222,35.900595983968046,36.02991590391749,37.35744745790488,37.96485129643242
BGD,Bangladesh,Carbon Intensity,g CO2 / MJ,inf,inf,inf,inf,inf,inf,76.66785573340553,65.58853514884031,67.10763766638473,63.762183880504864,65.88039676056111,64.50139730025846,65.36531645383803,63.853404308509276,64.12195333387183,62.790021040727694,61.504880341392436,59.96377990597004,58.47904073380205,60.484734601097834,60.44096174568761,61.33428662056218,57.53101443016575,59.18879667808405,54.816601887694745,54.23192064289728,58.86761664568014,56.140409545739644,52.99933972028357,54.763702407328296,54.98173678587026,53.940954406848086,55.19157129112535,52.06353862557478,55.60490127888151,54.69579658348069,56.11909750599902,57.43558304456818,56.84747621741888,57.41097697954813,55.48027809045585,56.68234856127233,56.352878679283435,56.94141050591969,55.874580658085726,60.11428352020556,57.22307940654755,56.52692850605594,58.988350430261924,59.16040354669599,55.78946577355137,59.01581307236123,59.977652737878344,56.16626062935825,54.7982516284657,58.37244237902906,55.814690684583,55.64932341208968,57.60257026631173,57.27577653847828
BGR,Bulgaria,Carbon Intensity,g CO2 / MJ,110.78658905432073,108.57755396337079,105.29169143171663,100.48221600327935,100.94223384498014,82.83215582531601,83.45868583051437,83.35024717404212,83.7036670134935,83.68017565801362,77.61222016166082,73.38925114811356,72.51270888154122,74.67692481634256,70.05690809606536,65.04562524609229,68.30364657577067,74.44685085028014,74.1815374728586,72.06381281576121,73.97405627204463,74.17974235621135,73.76382770023228,68.51610627761646,68.85493456193521,65.69545757326853,65.55050389328525,64.87181438339846,61.71742740307851,61.67040561278771,59.20499110842877,60.20230205412175,60.73483836320522,60.33941118942214,59.92275488503961,58.58494461258052,60.38445024143787,58.681107568868576,62.63099989027783,63.56869975154711,60.23676032198306,60.31511852243758,66.64717097832364,65.18984711881293,63.26723771127843,64.19902741927794,65.84247747969701,63.645802468417344,61.531845605737246,60.88845126747785,61.56973473585421,60.232181167401436,61.01837503265472,56.56479231784424,55.738540253868976,52.30943645942219,54.09479267431702,57.72485108356864,49.80100749011487,47.5413807634075
BLR,Belarus,Carbon Intensity,g CO2 / MJ,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,72.90885332192286,72.47601127878175,65.7512796781212,66.57675323137963,65.4266774744728,64.66045993164465,62.254999278749054,64.2081076938118,66.33305975373781,66.93219448968853,67.6135391747739,66.8156715882181,65.90088746618703,65.74145238877304,65.21220788351755,59.94125468147287,60.63698452765712,58.43713279426889,60.28874898923018,56.89966532362482,58.08730579300089,56.843501891014185,56.82249485545509,58.55523008351924,59.63110170813807,56.73004003270439,56.697425949914575,53.4831816000844,60.62457582041482,60.05690123587911,61.276544310155444,59.341571531486224,59.645893031018346,56.38682616197627,56.13691567033105,57.53470557964065,53.75705136560224,52.074380560097595,50.143322495128366,48.269736854373576
BRA,Brazil,Carbon Intensity,g CO2 / MJ,69.8021147964115,72.98455253904868,72.64396254312477,73.02465572580877,72.56312163033377,66.89037125095521,67.4528380370342,65.51215816879647,63.84691055576055,62.67643290272217,63.16171857711943,60.00582091271489,59.54985671670744,58.83928623959929,58.37923789036968,57.09936544134381,55.02357855415015,52.67887923006019,51.331757909821846,48.94861540021418,49.04780033753062,50.47886619170486,51.16494862869033,49.93529906752405,49.87738735886185,52.439504642156535,53.21233491095818,53.425822997471904,53.45560229225067,53.00708082521617,52.71705209654854,53.22269739021256,53.20110216448136,52.83718921259703,53.59990140124613,53.43444451940293,53.825775063988644,53.54945158070389,52.98340998818025,52.82229210034324,52.15487651021649,51.253124693843056,51.01301046752126,50.566440434045305,48.700306358345884,49.533918736122935,50.14030502862483,51.62638443973109,52.4585769868065,53.02371038004098,50.79820950288634,49.574635161366096,49.53241734377835,47.972899799791826,47.078607945405565,46.692348995331635,48.41040470895742,46.55303251798254,45.76532508213635,45.078379303904896
