region,region_name,variable,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ABW,Aruba,Carbon Intensity,g CO2 / $,,,,,,,,,,,,,,,,,,,,,,,,,,,172.61951344571958,370.2560026996411,427.16528628840837,403.7676712506552,291.83527898708127,294.6997208367069,282.16651162083355,316.61431134833305,297.5684349275348,312.7465427138173,313.8611005844973,308.0829180399136,321.0361308203187,318.55158406115237,869.2154126489112,844.6083955023358,863.0482246524379,897.2104353927256,854.1635142048406,889.873254835058,878.7650483611617,886.9868073296357,820.0949799825571,918.2800220921644,900.6345441435262,867.4576857292045,472.4012905032469,284.2122294624465,292.4808999318486,302.9726955481596,292.98790928350826,275.96767080403595,262.8528449684191,257.5107866520181,344.3743444213512,291.0480445324037,276.71925530185484,264.86631581913355,
AFG,Afghanistan,Carbon Intensity,g CO2 / $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.71344089500656,190.19212271801328,185.5170646731143,198.24924490144318,155.07232868625587,212.91466749121804,230.94503878122734,263.08327548798104,384.6598566780132,475.8008749675588,544.7746061575067,739.9199627576866,559.6990459853612,484.27666806772555,461.15795534589023,490.45112096618016,439.8250819190302,463.5906273580441,501.46405443109575,492.465060472742,539.1644352938059,603.775991930701,663.6041497875203,670.9982423488357,
AGO,Angola,Carbon Intensity,g CO2 / $,,,,,,,,,,,,,,,,,,,,,231.2921571330467,238.8724497905249,210.22668854795464,222.00838190624145,204.73246829968738,185.5207730815467,178.66234828053834,214.3353902511078,176.24278287986223,171.75394053519403,183.93030465702233,181.2012808199442,196.25126969425153,287.35999516875586,560.0439823631851,541.1880992689576,576.074556703205,559.3835153264164,555.4778207635327,568.2425131858078,510.9524191584126,487.6730480821435,433.6678990904377,457.85457295853786,401.6042611048013,315.7086908681376,315.35632299285106,283.7527604679686,272.108727274649,297.3884037149368,316.76533511940414,311.64671469526985,318.3388165767118,300.60744118829064,291.04294847466946,303.9371872177697,288.8518748510994,268.09618178635657,267.95504334876375,257.4696601143406,203.3108717395964,233.30477596916901,248.44661905192058,252.62443328777306,249.2748207114111
ALB,Albania,Carbon Intensity,g CO2 / $,,,,,,,,,,,,,,,,,,,,,1061.259616954826,1425.2046642116197,1377.6950726696991,1422.9058668419216,1477.7805522640563,1462.2492493096224,1415.2223192641502,1318.3378794402936,1316.1263268127143,1469.1543003571471,998.1454287089327,1077.3775610245514,681.0558927356891,577.3964250262594,438.6833601837836,420.36475563022645,378.21859209200977,327.6365686329549,344.001490137264,521.5360166181657,491.61189072166314,480.8047620548704,534.8179218651646,582.9496725622232,537.4669591493686,521.6073234218409,451.5050252183239,434.01703423767225,451.0741397024729,431.51053333404576,461.9096166387537,484.3653292905323,456.89851802205857,487.14327028844895,541.2095019477462,410.8172151024079,382.18082221015413,434.1073159532542,407.0637324931499,379.3109336284041,386.3164116874128,374.3368708546137,312.69927662859226,295.4416475178488,285.9275006934957
AND,Andorra,Carbon Intensity,g CO2 / $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.05074390257266,239.94181677559604,237.73277049418436,242.39423620741377,234.6191035236008,240.77707737729662,245.94652250030572,230.95463289456552,236.140223550075,236.9988946597534,233.82717245910092,216.2676299474286,209.75608084426514,194.309049870641,189.5360791521659,184.50015237770847,166.00784933631033,161.27465720640794,170.7679667349098,172.9701893509409,176.45510353398208,167.70845474778093,175.17066527060473,177.517035419947,167.8511974252949,166.79132797557958,163.3579104814136,162.79452439462642,168.9442085128954,163.1709466954828,141.21595127133747,143.0703171088648,133.537764883814,128.5421990870724,126.30188205926714
ARE,United Arab Emirates,Carbon Intensity,g CO2 / $,,,,,,,,,,,1082.748401712019,1101.1725663082843,876.5928427931136,648.1741175408271,578.9773215712568,540.5698198788633,592.0029679604631,476.8463337558344,559.7725981139946,378.11109736178383,307.6706720455435,293.58088340833353,314.793782512464,316.76037963291617,399.59585623870936,446.01988258606633,496.3456685504256,484.6877985149809,504.7085336092675,506.1444216109042,408.27007047332876,443.68317385635635,437.6956781295614,490.5690614767336,525.2738881082383,476.16355757410236,468.3623955359073,418.41422688694354,458.8999962403432,430.57786338195234,560.2346602115975,501.4192992222293,409.36439574961173,472.91831129077275,453.2384678165193,443.0313013022848,429.4201361453597,454.75844224672824,509.4637405934002,586.4052982453886,634.3628676944288,637.9531428592813,657.4680650981772,643.4465726102685,618.7015924222552,607.7767731555697,583.0550181453948,499.0402439598899,511.65001140621285,505.92545943538096,561.5502564159407,530.3842937268442,481.5487076505929,472.18519419077984,480.0735093712983
ARG,Argentina,Carbon Intensity,g CO2 / $,323.37671146709255,321.5862657655671,340.2949953320373,335.202297395909,338.66329055216727,323.53751082233885,349.32312515202887,351.4164978698287,353.33992606083297,360.621969980063,374.4232140447282,380.9655438252739,380.0188054546898,385.6785390328132,371.317856831457,368.96618095552566,395.84937198105877,373.93301745885867,398.7873354222646,390.2479417378935,377.6217575996148,373.7905378946582,381.6531745077553,372.0929158963942,370.9000551052485,369.4432151567608,360.587743306984,387.2694942270517,413.77676879435086,429.53834206383164,422.05053122114003,405.822553715241,388.0750939238928,348.3315121701477,330.4779617320824,359.9865888225332,357.5350833097853,343.7221130290702,337.97622701821484,371.98431919304096,362.3309251911839,356.9619521229536,370.7131277247855,366.489216953836,393.1872518772724,371.53507469627664,370.68291468739926,338.9246706215038,351.6370646746926,355.394278132714,336.725976193729,324.0757021539766,330.59352033610804,319.14117514807344,325.6640930593463,322.5036066976885,326.2845960208936,312.40961344147456,312.94424593632436,315.73615826434445,319.71436076714014,334.47891075807667,306.9950157503498,302.9189620585826,295.5235352531391
ARM,Armenia,Carbon Intensity,g CO2 / $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1541.7043460849536,1431.7693568053064,1907.2022412261465,917.1527727048709,930.6379144095746,1090.4210636187786,765.8559344108271,964.3086192855703,944.659395187132,813.1422988650065,881.7965236038112,814.0746499458033,626.338698780371,617.0559009498741,596.5007827225116,620.8892705220916,551.6749052871598,562.2134437419113,574.8625078654879,523.8141872881345,499.96001935764804,557.4463360055184,601.5694115947023,560.7602290325689,548.0204018210906,518.2440327308651,492.3830808743188,487.05308704792816,486.85490138018,488.3708903085816,569.0619867678153,581.8368980529937,541.1970616293336,482.2892922661114,455.4494169541584
ATG,Antigua and Barbuda,Carbon Intensity,g CO2 / $,,,,,,,,,,,,,,,,,,1201.8910791160874,1214.8825173755322,931.1279260737081,302.46584191247143,216.64662466321363,598.1453524908363,163.21237282526553,257.65625375102684,406.9119174668701,364.96414527494335,377.51906135526804,373.1661781790548,354.54443560098235,291.22789764921174,293.6604319595057,290.2971915904115,283.84846647106514,277.4872254535406,294.11102781565387,290.8016335940309,296.9254396446739,297.0122668422968,305.92035370798527,297.24407793690324,327.4591387086807,349.55149361310447,353.4929388917485,348.38001747887495,348.4794059763656,332.7895060919732,315.2266170381613,317.4301646239088,372.82808322691164,399.22360456494266,404.4849326438157,399.16453504383287,401.57794754816433,400.6953741879658,402.72554177691876,396.5805488914715,390.87328164631924,375.22186637053255,376.67372090537856,448.2675797462204,426.732605094412,396.02224399075646,385.85501781780323,384.0580704310207
AUS,Australia,Carbon Intensity,g CO2 / $,427.4643315577746,415.0482817894139,428.1126472486458,425.6070354621233,429.12834837683556,444.26000471163326,442.072014109063,439.36762278376756,440.25266157991274,435.69622552118665,440.64503786307785,433.02215105875575,423.56618610371817,457.2103421402291,428.95352081289235,440.92264254203894,421.60779788992613,436.0008553546344,453.8489328023237,439.0819856765808,452.84216995157766,458.44668864885745,452.389210419297,440.7024939030241,441.37318781468144,432.81816261606093,415.3473256516246,424.066359025606,411.47110296918635,422.6216194819717,441.74057518755814,445.6305903553476,451.6636257282917,440.7311757587206,430.95337784599593,430.8677689602143,424.2093756746547,419.21940192587834,417.7956003073025,409.51197398028586,400.95913851282245,401.72778755584136,391.49120937491335,388.513099943515,384.0468452160282,375.3022349627811,371.2055058031132,364.58461262254934,356.7119510815637,352.4225419807372,343.1158372145432,334.0982882164085,322.40596750663445,308.6776168853263,296.9063006098481,296.4480401164443,295.02456682625404,291.0835059959452,283.87870247133856,277.94213168969105,267.29053731516035,255.14727935589266,241.99503043518368,234.08748717985725,232.23572129357407
