region,region_name,variable,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ABW,Aruba,GDP,trillion USD2015,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00104006781398127,0.00120729440371186,0.00143243849545132,0.00160619100085752,0.0016698186788499,0.00180278419840914,0.00190883034597587,0.00204832181223325,0.00221636411187433,0.00227281809043191,0.00229976890623206,0.0024618307461686,0.00251087003179451,0.0025419556533881602,0.00273572691578639,0.00285013506001,0.00282320260954275,0.00285455440437331,0.0030627578402659603,0.00305102326117582,0.00308542084719517,0.00318074629372871,0.00323913700832128,0.0028608789658894802,0.0027826780754709904,0.0028764330999067602,0.0028464951875290397,0.0030295670303440297,0.00298150067304632,0.00296290726256983,0.00301385815598809,0.00322629095432065,0.00330362792955249,0.0032298763512533498,0.00238326696891162,0.00295841190544105,0.00321040700876028,0.00334728975567821,
AFE,AFE,GDP,trillion USD2015,0.152480436579926,0.153196649025378,0.16525111520855898,0.174542313561299,0.18272753239915202,0.19215542550585002,0.201421655345428,0.212245929682373,0.221061315080393,0.232317331582021,0.234954490294902,0.247828451305036,0.254696168867412,0.266428619777093,0.28101775349922997,0.28496416761742605,0.291752586324443,0.295022104481917,0.29947283471305103,0.30824895605830105,0.325092582750688,0.33814209545037405,0.339207759344658,0.33934116473653303,0.350760946551679,0.350311844404763,0.35824992677551204,0.372417005516252,0.388334518493407,0.398805346915407,0.399506714934442,0.399125331150141,0.389745245706821,0.38740896568258004,0.394893828571086,0.41180573980658397,0.434267004530753,0.45095144343398796,0.45885495101296897,0.471011324578898,0.486140997187189,0.50318261180693,0.522473869009401,0.537902201109957,0.56777969784613,0.602769083967025,0.6424158503856391,0.685116814693611,0.715030200782856,0.721412927602431,0.758983704845375,0.7897902710728819,0.803753522514389,0.838457390641823,0.8721160095828321,0.898308853395359,0.918035636831028,0.942788060956355,0.9679137217432979,0.989211118718634,0.960921818200308,1.0047741395306,1.0405015847655,1.06018066810231,1.08951378637687
AFG,Afghanistan,GDP,trillion USD2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00620654759007403,0.00562114763073068,0.00722879591892525,0.00786726325628817,0.00797851564158304,0.00887448019558321,0.00934992188577888,0.0106426719631135,0.011060395115680901,0.0134262720732398,0.0153546125415059,0.0154200776655323,0.0173864902393536,0.018360263162757802,0.0188604964940404,0.0191342216447325,0.0195667151741633,0.0200846467514954,0.0203234990203639,0.0211184737023471,0.020621957125207698,0.0163452025625485,0.0153252338101388,0.0156726482381005,
AFW,AFW,GDP,trillion USD2015,0.109568116437943,0.11161664242710899,0.11577541220619,0.12392506441216701,0.13057334852750999,0.135934188403769,0.133877519665224,0.121872129714915,0.123772107814863,0.142495350151822,0.167264648103408,0.184749276572414,0.190574768404163,0.198106786850691,0.217869141656383,0.21334226779688,0.231251978290639,0.24177728864454598,0.237140167432055,0.249001135875948,0.253746576502136,0.236742121182857,0.229112119249226,0.21478697784225698,0.215950818595645,0.227600593619345,0.230644869914187,0.233942519339675,0.244890625794941,0.249119217298668,0.263311240946079,0.266121383269461,0.272375821431238,0.268664306097151,0.267903458338211,0.272885930471333,0.285518163767992,0.298089741587859,0.308890785933911,0.31361122236107397,0.325661666557349,0.342618975763333,0.376773983461917,0.397864575591035,0.43007041240911104,0.45549665205657397,0.479889334511076,0.50629442304368,0.538070142057243,0.571029785550553,0.6111847412486949,0.6414180105410671,0.674390588136069,0.7150430071542719,0.755889542356826,0.77802206079681,0.7795328045015529,0.797432183779807,0.820594832594526,0.8475280925529489,0.839187420911066,0.873006676542313,0.9077083736788659,0.938189102818499,0.977368845048542
AGO,Angola,GDP,trillion USD2015,,,,,,,,,,,,,,,,,,,,,0.0230632620741287,0.0220484782618064,0.0220484782618064,0.0229745146637731,0.0243529860410185,0.025205340428274898,0.0259362957398901,0.0269952095002078,0.0286497163246879,0.028661640755434502,0.0276727858646311,0.0279471226014351,0.026315491127130903,0.0200041370381834,0.0202720651354562,0.0233128749116258,0.026470456890200902,0.028395991341425,0.0297280888814462,0.0303766040838731,0.0313044951937788,0.0326211618096533,0.037079068252735804,0.0381877323934926,0.0423692890928509,0.048737393239503095,0.054366562157632005,0.061983317520594904,0.0689068540840594,0.0694994530306657,0.072556300249883,0.0750754935567676,0.08148852260410311,0.0855259635639192,0.08965050384770411,0.0904964205065957,0.0881615679314379,0.0880317826943787,0.0868729660328735,0.0862628806849456,0.0813991942507301,0.0823753419525616,0.0848834458381604,0.08579857386005209,0.0895942208552482
ALB,Albania,GDP,trillion USD2015,,,,,,,,,,,,,,,,,,,,,0.00487235783348621,0.005152305744733229,0.00530422646710994,0.00536283489484554,0.00529571383327528,0.0053900116417466,0.00569385970534246,0.0056490010498720595,0.005568782994815,0.00611655906123727,0.00553085937475169,0.003982100297960841,0.00369590233301319,0.0040492088519881704,0.00438540926120229,0.00496964810072759,0.00533423783294103,0.00470951466014116,0.005100876515377,0.00572577103293267,0.006153077235622891,0.00669846942912028,0.00700850111179519,0.007382282996759229,0.00777105334165332,0.00816977225074253,0.00866150930989701,0.00922451543660112,0.00986165846533864,0.0101270111907491,0.0104281028722706,0.0106850009425337,0.010790155229509199,0.010974367815094,0.0112202185608998,0.0114701718269575,0.0119185334469749,0.012309839868708402,0.0127617857031071,0.0130250074748895,0.012593390460142,0.013722964212462,0.0143853299935341,0.0149516253240189,0.0155439667220707
AND,Andorra,GDP,trillion USD2015,,,,,,,,,,,0.0008591217206456589,0.0008990662874092099,0.000972337883975212,0.00104806810158249,0.00110695684336222,0.0011129588261283901,0.00114972861573441,0.0011823645313312299,0.0011996625264324501,0.00120016107286812,0.00122666936186681,0.00122504433785478,0.00124031403945152,0.00126226906487957,0.00128479661264894,0.00131462230563835,0.00135739120006968,0.00143268734814202,0.00150567311500348,0.00157835247229566,0.0016380360961623002,0.0016797405530064,0.00169534893806262,0.00167786167841049,0.00171784818007992,0.00176521787135903,0.00184729588929006,0.00201480262235064,0.00207917140340932,0.00216439828015413,0.0022407660944180697,0.00242270190933042,0.00253284671348552,0.00275305756657311,0.0029770374195986,0.00313773182590577,0.0032886155816283396,0.0033396939688463303,0.00315403415698041,0.00298678056570671,0.00292779290399219,0.00292755663832444,0.0027819269810227497,0.00268323543638042,0.00275043614273572,0.00278988125850362,0.0028933768717235,0.0029033900357376,0.00294951809467896,0.0030089670369828903,0.0026724459708865698,0.00289390565678942,0.0031706965119297197,0.00325261319416191,0.0033622854669815103
ARB,ARB,GDP,trillion USD2015,,,,,,,0.257311534766324,0.274773719435461,0.304396122061435,0.327088184653282,0.402126828338016,0.432244576754557,0.492550012020727,0.558166187951322,0.616893172588952,0.61663843714868,0.7049380926647111,0.751565809733993,0.773627036243641,0.856038839180965,0.909944183683381,0.9176986353951669,0.862739843343881,0.8302598160406529,0.840561088583027,0.833448097626719,0.826775717444045,0.828873602251417,0.855998348873886,0.888682765455038,0.9584934156042829,0.951851019963204,1.01429310480034,1.0473291621246,1.08250720645537,1.11281628311122,1.16645548369965,1.23001868953302,1.28858639233078,1.32435445680052,1.40840423222238,1.43791458615805,1.45547048847662,1.51806378865303,1.65582933881979,1.74807757709478,1.85789926027826,1.94335820374062,2.0515753815091897,2.06476012399551,2.16464737997049,2.2466055418136,2.36114449331092,2.4239396767645602,2.4867132390368503,2.56863113065553,2.6597991320359102,2.7024842772767403,2.77390675352331,2.82180979687448,2.6875722133323703,2.80594837294277,3.00223607316015,3.04740036762442,3.0946021347032002
ARE,United Arab Emirates,GDP,trillion USD2015,,,,,,,,,,,0.0140705929243681,0.0192221715720387,0.0267341265590631,0.0472178557763412,0.0540635199925488,0.0574302723873059,0.06692169109582409,0.08126925340541409,0.0799773946552574,0.0967115232709099,0.11980118176450301,0.125382930480431,0.116958054938579,0.111407435357159,0.11588261775721001,0.11171724427419501,0.0950064263094287,0.0982195262696928,0.0956472475295885,0.107448100944132,0.127141173341334,0.128234691621359,0.132524071345554,0.134195452934192,0.143449770720493,0.153043528513017,0.161917610697963,0.17517930849733498,0.17569082216666698,0.180789745171171,0.200410321466334,0.20321423228670701,0.208159362862998,0.226478512548989,0.248144435949927,0.260192198684156,0.28578813728333097,0.29488874664328496,0.304301112624578,0.28834684293712404,0.292968610443839,0.311179896153556,0.316857313565968,0.332876224084284,0.34674282179042404,0.37027546957113705,0.390868305597139,0.393741456224296,0.39891487987498797,0.40333624550445696,0.383342656333374,0.400036290964175,0.43007780444549404,0.445641058044125,0.46240436091514303
ARG,Argentina,GDP,trillion USD2015,0.15079781029588402,0.158982878499524,0.157628310158567,0.149261089202812,0.164381681831918,0.181755894112433,0.180556802912311,0.18632016996457598,0.195305461613156,0.214210104570482,0.220734180309322,0.233223609573669,0.237021461356448,0.24368592186822602,0.257171024124452,0.257097956426363,0.251909073021038,0.269376820356431,0.257238364643474,0.283535234199299,0.287841521828634,0.272903153784458,0.27089551673816,0.282677015450457,0.287117132733287,0.272218554792861,0.28896918890405404,0.296785426416393,0.293550663101649,0.27254138992867,0.265817211205311,0.290094591011844,0.31312024448989,0.338817957426035,0.358592053441545,0.34838935787428305,0.367643757074802,0.397463514160866,0.41276657032576397,0.39879253540929305,0.395646066535875,0.378202665751853,0.336999433710193,0.366780211148674,0.399898899166738,0.43529658974533897,0.47032556579835305,0.51269085074156,0.533491913656279,0.501917060966235,0.552738161802463,0.5859242940247851,0.579910247223428,0.593858966307156,0.5789375749356961,0.594749285413212,0.58237655042809,0.598790850843677,0.583118120294002,0.5714507372244421,0.514874343768066,0.568636554720066,0.598603016935287,0.588959512629692,0.578834679333011
