,year,region,p-value,num_years_forward,noise_type,fraction,null_hypothesis,test_year
0,1975,WLD,1.0,2,t-dist,0.15,0.03,1975
1,1976,WLD,1.0,2,t-dist,0.15,0.03,1976
2,1977,WLD,1.0,2,t-dist,0.15,0.03,1977
3,1978,WLD,1.0,2,t-dist,0.15,0.03,1978
4,1979,WLD,1.0,2,t-dist,0.15,0.03,1979
5,1980,WLD,0.0,2,t-dist,0.15,0.03,1980
6,1981,WLD,1.0,2,t-dist,0.15,0.03,1981
7,1982,WLD,1.0,2,t-dist,0.15,0.03,1982
8,1983,WLD,1.0,2,t-dist,0.15,0.03,1983
9,1984,WLD,1.0,2,t-dist,0.15,0.03,1984
10,1985,WLD,1.0,2,t-dist,0.15,0.03,1985
11,1986,WLD,1.0,2,t-dist,0.15,0.03,1986
12,1987,WLD,1.0,2,t-dist,0.15,0.03,1987
13,1988,WLD,1.0,2,t-dist,0.15,0.03,1988
14,1989,WLD,1.0,2,t-dist,0.15,0.03,1989
15,1990,WLD,1.0,2,t-dist,0.15,0.03,1990
16,1991,WLD,0.0,2,t-dist,0.15,0.03,1991
17,1992,WLD,1.0,2,t-dist,0.15,0.03,1992
18,1993,WLD,1.0,2,t-dist,0.15,0.03,1993
19,1994,WLD,1.0,2,t-dist,0.15,0.03,1994
20,1995,WLD,0.9863,2,t-dist,0.15,0.03,1995
21,1996,WLD,0.4137,2,t-dist,0.15,0.03,1996
22,1997,WLD,0.4832,2,t-dist,0.15,0.03,1997
23,1998,WLD,0.8839,2,t-dist,0.15,0.03,1998
24,1999,WLD,0.8583,2,t-dist,0.15,0.03,1999
25,2000,WLD,0.9222,2,t-dist,0.15,0.03,2000
26,2001,WLD,0.9935,2,t-dist,0.15,0.03,2001
27,2002,WLD,0.9886,2,t-dist,0.15,0.03,2002
28,2003,WLD,0.9386,2,t-dist,0.15,0.03,2003
29,2004,WLD,0.9487,2,t-dist,0.15,0.03,2004
30,2005,WLD,0.9319,2,t-dist,0.15,0.03,2005
31,2006,WLD,0.913,2,t-dist,0.15,0.03,2006
32,2007,WLD,0.9606,2,t-dist,0.15,0.03,2007
33,2008,WLD,0.9806,2,t-dist,0.15,0.03,2008
34,2009,WLD,0.9992,2,t-dist,0.15,0.03,2009
35,2010,WLD,0.9866,2,t-dist,0.15,0.03,2010
36,2011,WLD,0.8916,2,t-dist,0.15,0.03,2011
37,2012,WLD,0.7903,2,t-dist,0.15,0.03,2012
38,2013,WLD,0.6754,2,t-dist,0.15,0.03,2013
39,2014,WLD,0.4767,2,t-dist,0.15,0.03,2014
40,2015,WLD,0.5685,2,t-dist,0.15,0.03,2015
41,2016,WLD,0.8209,2,t-dist,0.15,0.03,2016
42,2017,WLD,0.9093,2,t-dist,0.15,0.03,2017
43,2018,WLD,0.8023,2,t-dist,0.15,0.03,2018
44,2019,WLD,0.5769,2,t-dist,0.15,0.03,2019
45,2020,WLD,0.9503,2,t-dist,0.15,0.03,2020
46,2021,WLD,0.6633,2,t-dist,0.15,0.03,2021
