,1year,3year,5year,10year
AUS,0.348,0.5643,0.9806,0.948
ARG,0.8798,0.9897,0.5855,0.9757
BRA,0.5354,0.7459,0.1604,0.9987
CAN,0.7336,0.5801000000000001,0.8633,0.9535
CHN,0.29159999999999997,0.0028000000000000247,0.0,0.0
EU27,0.7652,0.9999,0.9995,1.0
IND,0.006399999999999961,0.0,0.0,0.0
IDN,0.07869999999999999,0.0,0.0,0.0
JPN,0.777,0.9691,0.9827,0.999
MEX,0.4075,0.11029999999999995,0.20440000000000003,1.0
RUS,0.255,0.06220000000000003,0.06689999999999996,0.0242
SAU,0.2784,0.4978,0.579,0.0004999999999999449
KOR,0.5872999999999999,0.8324,0.8756,0.9019
TUR,0.07940000000000003,0.0,0.0,0.0
GBR,0.37639999999999996,0.9575,0.9997,1.0
USA,0.5478000000000001,0.9225,0.9247,1.0
ZAF,0.44599999999999995,0.4569,0.8416,0.9618
