,RUS,CHN,IND,IDN,SAU,TUR
1991,0.9838,,,,,
1992,0.99285,,,,,
1993,0.9947333333333334,,,,,
1994,0.996175,,,,,
1995,0.99686,,,,,
1996,0.9972,,,,,
1997,0.9973571428571428,,,,,
1998,0.9977875,,,,,
1999,0.9981777777777778,,,,,
2000,0.99814,,,,,
2001,0.9984,,,,,
2002,0.9986833333333334,,,,,
2003,0.9987307692307692,,,,,
2004,0.99885,,,,,
2005,0.9988866666666667,,,,,
2006,0.998875,,,,,
2007,0.9990294117647058,,,,,
2008,0.9990888888888889,,,,,
2009,0.9991421052631579,,,,,
2010,0.999185,,,,,
2011,0.999247619047619,,,,,
2012,0.9992909090909091,,,,,
2013,0.999308695652174,,,,,
2014,0.9993166666666666,,,,,
2015,0.999248,,,,,
2016,0.9993038461538462,,,,,
2017,0.9994037037037037,,,,,
2018,0.9994535714285714,,,,,
2019,0.9994862068965518,,,,,
2020,0.9994433333333334,,,,0.9961,
2021,0.9994774193548387,,,,0.7186,
2022,0.999528125,,,,0.8012333333333334,
2023,0.9994818181818181,,,,0.809225,
2024,0.9995441176470589,,,,0.77164,
